 ,1,2,3,4,5,6
1080,95.0227,338.386,-320.7427,-106.3123,-155.9022,300.599
1100,93.7324,336.0269,-307.5844,-105.7814,-143.0198,289.5696
1120,98.3787,339.3232,-313.7361,-109.7909,-150.0132,303.6886
1140,107.4194,327.7619,-311.3108,-98.7981,-144.4588,296.8284
1160,106.7571,333.8064,-309.8756,-98.6728,-150.49,301.5782
1180,106.8462,333.0842,-307.5589,-102.0328,-155.7339,300.7773
1200,90.0127,336.2801,-298.6906,-74.8827,-135.8078,295.5003
1220,101.5129,343.9867,-301.9922,-84.077,-151.9158,287.852
1240,122.3562,331.3688,-308.823,-79.316,-157.8912,290.9914
1260,100.0657,339.1756,-307.0081,-86.4975,-156.2431,301.0196
1280,125.6206,326.4135,-311.2761,-73.5768,-155.3898,301.4528
1300,97.7488,339.7854,-311.2123,-81.5288,-150.2701,301.9541
1320,109.4883,346.42,-311.6374,-77.7292,-151.1253,303.7219
1340,132.0583,336.9971,-317.1927,-70.2849,-153.7585,295.1162
1360,115.2291,349.9633,-310.504,-78.5239,-155.6019,298.9211
1380,102.7058,351.9923,-300.6441,-75.1233,-141.2364,298.6893
1400,136.7697,346.4998,-318.5174,-71.8144,-154.5155,304.4305
1420,108.4384,356.4246,-301.9922,-71.998,-146.5435,293.3226
1440,108.9233,356.1278,-296.4286,-76.0776,-149.1371,293.799
1460,128.2992,341.4742,-319.6854,-58.0546,-154.0358,299.5329
1480,123.5314,343.6318,-313.4179,-67.9411,-150.2957,288.6496
1500,123.2828,308.6693,-322.0154,-65.5839,-149.8232,307.4465
1520,99.8219,272.1203,-309.2549,-57.0554,-145.2953,289.448
1540,122.4706,240.3455,-319.7812,-57.9999,-152.181,296.123
1560,117.3463,200.7762,-329.7071,-60.8594,-153.2567,296.1743
1580,122.9251,188.2067,-324.9587,-57.4456,-159.8245,294.8968
1600,124.2285,166.9145,-326.687,-60.0704,-163.3864,298.7933
1620,87.1194,166.1899,-318.3302,-56.4409,-140.9034,297.6052
1640,116.4379,145.2363,-322.9708,-50.9178,-150.6452,289.9681
1660,119.2659,129.3383,-319.513,-52.033,-157.9076,295.2428
1680,110.0315,121.5473,-331.3961,-54.5128,-157.8472,296.5959
1700,125.223,122.7055,-336.1211,-68.5323,-171.6198,310.2312
1720,120.4498,125.7252,-330.4241,-53.362,-161.7233,293.0784
1740,117.818,125.9078,-328.6224,-46.825,-148.4784,296.783
1760,120.3151,128.3965,-319.4254,-53.0283,-160.1137,297.5082
1780,123.801,129.3533,-321.8782,-46.1654,-152.244,297.7489
1800,114.6531,135.6906,-323.1918,-61.2065,-150.2114,302.3033
1820,116.7183,145.0491,-319.244,-64.8576,-154.3841,297.2996
1840,114.4241,139.3314,-324.1864,-61.5535,-146.6989,303.779
1860,123.5107,149.6972,-334.515,-74.9701,-165.4879,294.1269
1880,138.799,147.6562,-333.8028,-82.0217,-174.3792,293.0323
1900,116.2583,159.7355,-327.9505,-81.5042,-155.4793,297.5055
1920,110.0238,172.5456,-318.7208,-76.9163,-145.1641,288.166
1940,126.7813,187.4657,-333.4865,-81.2059,-155.3893,297.8841
1960,143.2756,210.6818,-327.0601,-83.7417,-159.3597,302.036
1980,124.3098,245.1348,-327.0377,-87.0401,-153.1758,298.4658
2000,122.668,266.5795,-328.9967,-88.8553,-147.6305,305.4586
2020,119.953,287.1817,-319.2421,-88.7057,-144.0512,296.3386
2040,129.4261,312.3694,-327.8335,-79.5252,-147.8457,300.6459
2060,124.7306,321.9591,-327.0005,-84.6809,-140.9297,297.6122
2080,126.1599,326.003,-327.5742,-78.3878,-136.2936,295.717
2100,132.6686,339.4573,-321.1685,-95.5784,-150.1383,298.4442
2120,130.3217,349.3535,-327.4216,-96.1164,-146.7859,301.789
2140,151.1163,337.6247,-331.7492,-80.9448,-141.7682,298.2068
2160,139.0283,353.793,-337.6928,-97.4539,-143.8954,302.5052
2180,153.5972,360.2627,-333.989,-96.6948,-153.2691,301.7132
2200,157.3248,362.3348,-333.2839,-102.563,-156.4892,301.1969
2220,158.8098,359.3811,-336.6758,-95.119,-150.3191,307.6165
2240,146.6525,377.8545,-334.7068,-99.1926,-152.3622,299.3124
2260,157.3035,372.5626,-338.0652,-105.2171,-156.052,296.3504
2280,160.7125,382.8841,-329.3862,-104.7453,-157.1842,297.1768
2300,160.3173,389.8859,-338.1142,-108.5693,-166.2312,296.0129
2320,179.3906,383.0284,-339.9722,-106.6822,-165.731,307.2761
2340,154.6467,393.6693,-325.8667,-111.9122,-155.6576,294.2513
2360,182.3207,378.2235,-326.8216,-100.1738,-157.6639,297.7994
2380,177.6846,391.9091,-325.9629,-105.3959,-161.854,304.6247
2400,178.7811,398.8535,-326.3842,-114.1328,-171.9456,299.893
2420,214.3987,385.4598,-336.6334,-118.2555,-188.0403,295.9774
2440,179.984,397.5337,-337.8626,-109.1067,-172.4845,298.8836
2460,204.2918,395.4822,-330.462,-114.9373,-178.1027,299.9907
2480,207.0294,398.0002,-337.8621,-116.3716,-180.2197,298.2949
2500,206.0273,400.859,-338.6977,-113.4385,-175.8529,295.8905
2520,209.0237,414.5281,-332.0096,-121.5209,-182.4237,301.6517
2540,208.431,414.2108,-332.6812,-111.5495,-175.8058,301.5487
2560,212.9585,410.2944,-325.509,-106.9034,-167.5261,303.8613
2580,206.6844,439.6291,-321.5666,-116.2947,-180.8367,296.0373
2600,212.2804,437.0807,-322.5437,-104.2309,-174.2507,300.7304
2620,207.2349,443.1121,-325.6659,-99.624,-175.7792,297.4067
2640,211.5515,446.8524,-330.1898,-86.1507,-170.6519,306.5555
2660,216.0902,455.4063,-321.168,-89.9881,-176.543,301.8701
2680,218.0232,454.6709,-320.5148,-85.8637,-177.473,302.3482
2700,222.3162,464.5665,-322.488,-88.1933,-183.4806,309.9062
2720,230.824,470.5304,-317.1531,-82.6276,-176.722,304.3889
2740,229.2963,467.0504,-318.1271,-65.338,-168.5783,307.8338
2760,234.086,467.8541,-318.9614,-66.9096,-176.3433,308.728
2780,218.5193,475.2413,-316.031,-65.6039,-168.5156,308.0025
2800,210.003,469.9489,-324.7657,-54.3868,-156.1716,310.9219
2820,239.9613,474.132,-327.952,-62.4777,-183.2868,311.7942
2840,238.1293,475.8877,-329.4405,-64.3024,-186.8866,308.5823
2860,227.3089,470.623,-319.8594,-59.8763,-180.4561,301.4644
2880,228.3364,465.2988,-312.4077,-54.3568,-177.0948,307.6758
2900,230.7732,459.3841,-314.2079,-41.8372,-172.7372,307.7917
2920,228.5584,464.2375,-312.2885,-62.606,-185.0612,299.6766
2940,211.5324,454.8651,-314.4793,-48.7247,-164.5863,308.001
2960,211.6693,457.872,-326.6949,-46.9371,-165.8245,309.6613
2980,220.2687,449.8821,-324.2198,-45.1375,-171.7408,308.2925
3000,224.1595,454.3408,-324.9103,-43.3037,-171.4056,311.0365
3020,202.7821,448.813,-334.346,-48.1725,-163.4501,307.2897
3040,209.8397,453.4891,-329.3009,-54.2453,-173.521,308.6971
3060,205.3719,446.4761,-326.2782,-57.5158,-164.1539,312.7289
3080,209.9607,443.7553,-323.0664,-59.8763,-171.745,310.6142
3100,233.945,436.8234,-338.8134,-60.6941,-182.5625,316.078
3120,234.2476,430.0099,-340.9711,-63.3062,-183.2504,312.1403
3140,232.8199,432.0067,-340.3302,-71.8722,-183.9813,314.9129
3160,209.8635,420.2767,-342.5247,-66.3536,-176.0525,310.2608
3180,195.6413,415.1942,-337.1031,-61.0762,-164.2332,307.3118
3200,206.2975,415.8962,-334.3741,-84.1794,-187.2434,303.4129
3220,218.6291,395.2642,-341.6582,-73.6491,-184.76,314.2569
3240,189.0877,393.2259,-328.1362,-78.0928,-166.0436,309.5071
3260,224.8801,379.3951,-344.5011,-83.3588,-183.4133,319.6584
3280,200.7837,382.4149,-341.3727,-89.1083,-181.2142,304.8762
3300,190.926,382.7336,-344.288,-88.9147,-170.4216,305.3574
3320,185.3748,383.0184,-339.8377,-95.6436,-175.4634,305.9662
3340,182.9271,373.5146,-339.2969,-87.7241,-163.1353,305.1567
3360,189.8095,370.5131,-341.4294,-96.5692,-164.9252,308.3552
3380,183.0757,371.3687,-340.2141,-104.9048,-167.7257,303.4819
3400,186.31,367.5842,-345.0138,-97.252,-158.4766,304.3292
3420,178.2514,368.6827,-341.5958,-107.317,-168.2225,300.4381
3440,188.9906,357.4895,-347.0252,-110.5173,-165.0284,306.7645
3460,179.7502,361.9158,-344.815,-125.8173,-172.2609,302.2831
3480,183.7001,353.5183,-347.7289,-113.8233,-165.7573,307.7614
3500,191.8411,350.6535,-358.7287,-125.1863,-170.8026,313.8268
3520,191.6342,344.9383,-351.812,-129.1192,-175.0608,313.3446
3540,178.5662,345.667,-342.6408,-122.5766,-157.0172,308.8397
3560,172.27,341.3672,-348.6199,-116.8981,-151.7635,309.858
3580,168.7975,347.1948,-352.3372,-115.9391,-156.6813,309.7417
3600,173.4026,339.0942,-350.223,-121.3588,-148.0888,311.2045
3620,172.4602,343.2977,-339.5121,-134.6664,-160.371,309.6758
3640,177.6175,335.4301,-344.9911,-135.6868,-152.6063,313.259
3660,175.8195,337.6658,-348.5092,-148.9504,-160.7491,314.4495
3680,185.3992,334.9319,-358.6266,-142.5995,-168.0654,308.9485
3700,165.5194,342.4055,-338.5742,-149.5586,-156.5651,307.0573
3720,152.9391,346.9418,-348.7338,-144.7619,-150.8468,310.2062
3740,165.0769,344.1003,-347.4094,-144.4242,-150.7247,314.5198
3760,163.1584,349.0293,-351.8444,-145.5802,-150.0819,315.4217
3780,154.3028,364.1417,-350.1501,-159.1931,-157.4864,311.3054
3800,196.3818,358.9591,-355.3282,-170.7905,-179.7467,313.5549
3820,189.7897,355.7762,-362.6273,-155.0525,-166.5462,315.5947
3840,173.6609,363.105,-351.1854,-164.7809,-164.4581,321.7109
3860,177.4519,350.5526,-350.9701,-148.1123,-155.9236,312.3286
3880,149.0455,358.9243,-350.1147,-153.8685,-142.182,318.0813
3900,152.4956,351.424,-345.9662,-145.3607,-143.8454,315.2441
3920,141.5546,357.7189,-349.54,-149.8657,-145.0348,318.0819
3940,140.669,361.2487,-348.3351,-163.0951,-157.2068,311.7333
3960,141.7929,355.9081,-350.0463,-166.0612,-156.9648,311.7593
3980,158.17,346.7254,-363.152,-166.5873,-162.1898,327.5854
4000,133.8533,341.3603,-354.0166,-156.628,-149.6936,309.2055
4020,140.1726,343.7898,-360.3603,-160.2719,-152.4202,313.2402
4040,133.8517,342.5364,-356.3665,-157.8906,-147.3645,313.3514
4060,141.4976,339.5197,-362.5421,-167.6578,-151.2242,313.0746
4080,139.2823,325.5016,-361.2498,-161.7171,-148.4532,310.0771
4100,137.4287,323.043,-354.2538,-175.8465,-157.8409,312.3241
4120,116.9811,329.326,-357.4309,-173.2358,-152.2443,312.3918
4140,117.1002,327.0588,-359.9792,-173.1879,-143.8885,316.0468
4160,109.3704,339.1917,-348.8867,-183.2536,-153.8943,312.1169
4180,100.7183,336.9585,-340.5859,-184.5499,-153.6268,297.7654
4200,123.9027,320.4151,-344.7765,-182.2192,-150.4502,308.2279
4220,120.9152,322.4721,-352.2989,-193.957,-155.4751,306.7864
4240,107.1387,331.8846,-346.549,-206.4702,-158.9102,309.4596
4260,100.3858,327.8646,-353.8633,-199.8378,-147.1723,313.149
4280,117.5143,331.0333,-348.6749,-212.0464,-164.4373,306.5768
4300,122.4964,328.635,-355.3875,-206.4826,-160.4088,313.2786
4320,127.5226,333.6478,-342.8115,-232.0899,-175.045,298.5338
4340,106.4433,334.3377,-343.9529,-226.408,-162.7553,304.8464
4360,128.6008,330.1946,-347.0504,-241.7766,-178.3062,304.0862
4380,118.3385,333.2642,-347.0613,-237.5187,-172.9089,307.7832
4400,116.0637,325.7992,-350.1074,-232.7366,-167.8918,302.7511
4420,97.2763,336.2424,-344.3958,-244.089,-168.842,302.7966
4440,91.5546,336.3651,-345.9912,-237.0736,-161.8566,305.5349
4460,89.928,327.6719,-342.7757,-237.7714,-158.6814,304.5905
4480,86.4725,336.4569,-342.2307,-251.5408,-171.9001,301.0761
4500,79.5124,330.7298,-340.7929,-243.6062,-163.5537,293.5512
4520,81.4165,326.8544,-352.3525,-241.4478,-157.6534,305.2735
4540,90.4634,327.2461,-346.7918,-257.5313,-179.3832,296.8859
4560,111.7887,311.4467,-363.0061,-255.3645,-178.9471,309.9529
4580,88.4182,324.5731,-361.0027,-264.1152,-176.5611,312.4575
4600,91.0822,310.3313,-363.9776,-253.6457,-165.89,318.2542
4620,83.0247,314.9526,-344.9132,-257.8887,-162.0921,300.6213
4640,78.9417,319.8584,-344.8253,-259.8573,-168.9116,302.4275
4660,69.2484,308.903,-346.0584,-248.8827,-154.26,308.2459
4680,70.5184,309.9957,-348.0813,-246.8655,-156.9978,307.2204
4700,86.6246,306.7401,-351.3096,-251.3466,-163.1912,309.6818
4720,78.5242,312.3445,-351.4762,-257.4542,-177.4984,303.3581
4740,96.194,306.019,-357.3463,-255.964,-178.9681,310.3814
4760,83.6418,306.8863,-357.3649,-258.464,-170.5414,313.7035
4780,90.7168,304.8779,-355.9367,-266.2462,-179.2332,315.2459
4800,109.4947,298.7338,-363.868,-265.9301,-181.6307,316.7693
4820,95.4383,302.5451,-356.2431,-262.9923,-181.6678,320.219
4840,81.046,298.6868,-350.1716,-258.2191,-170.9003,303.4725
4860,79.5526,297.5038,-355.4328,-249.8908,-163.9193,310.2585
4880,91.5783,299.9716,-351.6443,-264.5212,-174.1651,314.4814
4900,79.849,291.1969,-349.6781,-245.7334,-157.9482,305.1562
4920,84.6187,305.4003,-356.7714,-262.7343,-172.1385,313.6936
4940,83.6155,301.1985,-348.6913,-264.8286,-173.3792,297.2579
4960,86.5374,304.182,-352.9669,-255.1502,-168.1459,303.743
4980,105.5584,299.1356,-362.4836,-260.4041,-181.0055,306.8666
5000,85.3913,304.9143,-359.7294,-260.4512,-168.7025,306.9118
5020,90.7112,302.4123,-360.2378,-270.347,-176.0775,309.5899
5040,80.9997,302.4853,-352.3768,-259.4785,-165.1893,301.5208
5060,80.9508,300.5425,-349.237,-267.077,-166.4503,306.3885
5080,90.4921,286.9211,-357.4596,-264.4324,-170.4195,301.6309
5100,76.0868,293.8201,-364.8501,-264.6494,-160.642,306.529
5120,74.8257,301.2162,-361.6078,-262.8213,-168.9964,301.1094
5140,80.1298,298.1683,-366.2335,-271.9822,-170.5878,304.9712
5160,71.6899,301.1076,-365.5504,-269.691,-169.5407,297.541
5180,83.7462,305.2931,-370.1322,-275.2614,-181.7188,304.4354
5200,73.2909,301.4993,-368.7865,-268.4357,-164.3614,310.5286
5220,83.8435,306.558,-376.1039,-280.6022,-176.0966,311.8836
5240,81.2985,298.3073,-377.4037,-277.2576,-170.2898,308.7445
5260,84.2224,303.8422,-386.8929,-279.0211,-174.0575,313.1068
5280,82.3843,303.2622,-379.3842,-287.7151,-174.944,310.1559
5300,80.973,306.9389,-377.8894,-282.9086,-171.6913,307.0988
5320,95.5446,303.2241,-376.2746,-283.2921,-175.5701,307.5191
5340,90.7115,301.6613,-371.429,-279.4826,-168.1449,308.075
5360,81.95,302.9199,-360.6038,-283.8041,-167.5567,307.7505
5380,78.8168,306.0752,-364.223,-282.3905,-168.0109,299.0216
5400,85.3564,305.934,-371.6274,-290.8092,-175.9653,308.3702
5420,86.5275,299.842,-373.7104,-281.4751,-165.404,314.0032
5440,84.4822,300.6654,-375.6139,-280.5499,-168.2863,315.2371
5460,84.8114,300.1316,-375.909,-283.8758,-173.3137,312.7844
5480,84.9442,291.593,-375.6398,-270.6758,-160.9948,317.9986
5500,109.6421,292.6967,-375.7377,-276.8818,-177.3426,310.1874
5520,105.0616,292.4348,-380.6581,-269.5602,-173.871,310.8236
5540,115.0574,297.0974,-369.434,-274.9051,-181.4833,316.0124
5560,112.776,297.0238,-369.0405,-259.9741,-181.64,315.6915
5580,111.2979,286.0631,-376.0656,-233.628,-169.2416,308.6752
5600,118.3029,292.8384,-373.3606,-228.7514,-174.0394,314.1007
5620,121.1123,293.5323,-375.2639,-221.4579,-180.6891,309.8719
5640,129.6093,291.0335,-367.1733,-211.5071,-182.0134,317.282
5660,133.8884,286.7709,-363.6188,-203.7607,-186.6966,310.7921
5680,130.4582,295.8809,-360.3551,-194.2768,-190.878,307.4038
5700,174.0309,276.7542,-368.3591,-176.08,-192.2007,322.6472
5720,178.3293,280.5871,-366.0606,-161.4985,-194.2322,322.959
5740,143.4328,292.3081,-354.9729,-154.5663,-187.5576,322.9183
5760,161.0022,280.8656,-356.2882,-144.05,-183.9913,319.7604
5780,139.1522,292.3778,-356.2141,-140.754,-181.4598,315.8746
5800,143.1028,291.8557,-353.7386,-136.8695,-179.6728,314.2356
5820,173.0525,291.6208,-351.3301,-130.7273,-195.953,311.3687
5840,181.4213,295.0193,-362.5147,-129.8285,-202.485,305.1
5860,149.1324,307.9018,-351.5005,-110.7372,-185.0668,306.4295
5880,158.9053,307.3482,-354.7617,-107.1346,-188.9194,310.0302
5900,156.8475,315.5312,-346.7998,-115.6939,-191.413,310.2638
5920,177.265,306.2756,-344.7765,-111.4089,-196.0865,313.206
5940,183.3949,304.0967,-349.9655,-96.3183,-193.5502,312.6017
5960,177.3174,299.8503,-345.1527,-103.0701,-185.2764,316.7297
5980,186.3384,303.1552,-352.9146,-88.3603,-186.7975,312.4599
6000,182.9241,314.3005,-358.0812,-88.851,-194.3965,318.9977
6020,194.9099,303.0621,-355.8571,-88.521,-194.5586,317.5262
6040,189.5898,308.4912,-343.7009,-74.4962,-185.3353,312.7623
6060,201.6234,303.8463,-348.1217,-79.6002,-194.1535,315.3511
6080,219.8972,298.3505,-353.0936,-69.0199,-201.2601,316.9121
6100,201.8376,303.0001,-353.7179,-70.3905,-190.7331,323.3783
6120,225.8618,298.8031,-350.9885,-60.5367,-205.2022,313.1482
6140,214.2155,293.2146,-345.3113,-46.0076,-179.7242,313.7142
6160,191.3981,307.3569,-341.2916,-62.9674,-185.2856,318.497
6180,230.7074,289.1044,-348.2014,-49.6859,-190.7239,326.5537
6200,212.6023,299.3468,-344.61,-50.1502,-186.6098,310.5582
6220,223.7231,300.1141,-349.4904,-49.6959,-191.2561,315.3207
6240,221.7899,296.9978,-354.1118,-53.3256,-189.1695,313.3069
6260,206.4278,304.1384,-345.2705,-60.6428,-183.5255,314.9127
6280,226.0888,297.6755,-361.4199,-72.6134,-193.1502,324.6989
6300,214.9937,302.5882,-358.8586,-74.1139,-191.2082,325.4822
6320,217.5302,305.6735,-349.462,-77.4887,-187.5954,310.8538
6340,199.3663,316.399,-350.7307,-85.1835,-187.256,315.9273
6360,187.92,315.4487,-350.1104,-86.0724,-178.7048,314.1382
6380,197.1067,313.3116,-349.5293,-85.1664,-182.1945,314.5858
6400,190.8725,317.9403,-354.4318,-84.5052,-176.2252,317.8654
6420,196.8711,324.4944,-357.4084,-86.7331,-181.3896,317.1468
6440,198.2605,330.2287,-364.6232,-93.3871,-184.5853,324.7901
6460,196.5852,331.6232,-361.9465,-83.9327,-174.9815,316.2577
6480,188.3664,346.6985,-358.9066,-84.5705,-177.4094,316.557
6500,219.1136,363.1719,-354.2684,-88.2908,-192.2443,309.6501
6520,215.9062,373.6854,-351.6299,-79.7871,-187.0787,309.4736
6540,221.6026,374.677,-344.4501,-87.2708,-187.7662,314.3632
6560,196.0372,396.565,-346.2037,-92.1112,-178.8894,313.0372
6580,192.0037,400.9604,-357.1153,-79.7572,-172.257,309.4622
6600,200.4766,420.468,-350.8894,-103.5846,-183.0755,312.9816
6620,175.6803,435.6644,-342.5961,-98.2617,-162.2557,313.2422
6640,205.039,432.1907,-350.6666,-84.5977,-172.2063,320.9297
6660,197.1962,436.6884,-353.6393,-84.8927,-175.8143,319.9682
6680,184.0982,443.2216,-339.3149,-65.5583,-162.3157,314.9209
6700,181.1233,446.7424,-345.6148,-74.5152,-172.8038,311.8418
6720,212.1185,441.5392,-350.7755,-51.7186,-174.2211,310.4009
6740,183.8455,444.3066,-344.8731,-75.4862,-170.0567,303.9616
6760,166.8667,440.7716,-342.873,-74.2547,-162.2044,299.2304
6780,175.2561,446.3738,-335.797,-91.6415,-171.0573,312.9986
6800,178.585,428.4185,-336.8115,-99.936,-169.2728,309.356
6820,170.6907,427.5782,-335.9142,-107.177,-172.0611,309.7704
6840,159.8921,410.8021,-341.2222,-106.0254,-162.0627,312.5052
6860,166.8277,409.8653,-356.4531,-123.8095,-177.7319,316.1692
6880,169.1338,399.1754,-359.9536,-132.0463,-180.1118,314.2669
6900,160.5644,398.1952,-350.9254,-136.6823,-177.0646,301.9373
6920,167.0278,394.8524,-366.4237,-152.5309,-183.211,315.7174
6940,179.9044,383.3041,-363.5505,-148.0628,-182.461,305.843
6960,174.0233,376.4354,-357.3665,-158.2146,-182.688,308.1602
6980,174.9877,378.8576,-362.9104,-159.8632,-183.444,299.1912
7000,169.968,364.1537,-360.199,-165.4895,-174.4016,303.6978
7020,159.2103,362.504,-369.3174,-173.4655,-180.3881,306.9422
7040,156.6257,364.6181,-366.169,-176.3229,-177.1086,302.0773
7060,138.2377,356.9091,-362.4378,-173.3683,-163.0661,304.6425
7080,136.7776,355.526,-359.7758,-177.251,-162.7643,304.2864
7100,131.424,351.2173,-357.0174,-177.9612,-162.571,296.1438
7120,116.8149,358.8052,-356.1379,-177.7305,-152.4154,295.8304
7140,136.9191,350.7641,-361.853,-175.5762,-159.5116,306.413
7160,133.1647,353.6775,-356.1987,-179.653,-163.5917,302.0603
7180,133.062,351.6995,-357.0758,-187.6633,-166.3309,305.6083
7200,137.6033,346.6072,-357.7608,-182.1176,-169.6362,302.0844
7220,141.9487,353.495,-357.8681,-178.4438,-167.6992,305.4868
7240,135.12,350.877,-365.9175,-167.192,-160.9227,307.4368
7260,123.6458,347.5128,-365.5276,-148.5556,-151.9316,312.7018
7280,146.9712,351.475,-354.4766,-142.1606,-164.5763,306.9693
7300,147.6291,352.0456,-361.9467,-143.344,-165.369,307.0261
7320,146.472,349.9366,-362.9042,-138.9189,-164.155,294.3219
7340,154.158,347.8219,-367.5322,-135.6664,-168.684,307.0135
7360,135.1563,343.3798,-363.1905,-133.843,-163.1222,306.5304
7380,145.2132,338.4578,-366.4498,-132.0883,-163.9646,304.1399
7400,147.1392,339.9416,-357.1209,-135.1795,-172.751,306.347
7420,144.8703,329.9475,-362.0715,-122.6504,-161.4673,311.5053
7440,133.5397,335.2972,-366.3125,-121.8353,-165.1119,313.6077
7460,157.5316,324.5728,-355.4231,-106.1862,-162.5275,308.4895
7480,144.8981,334.3398,-360.761,-100.0189,-165.5964,309.946
7500,129.8377,338.0356,-350.1996,-83.502,-156.9268,305.5576
7520,161.392,318.9664,-356.7672,-65.4862,-155.7548,303.6063
7540,159.164,319.321,-358.8178,-68.9857,-162.3345,311.7712
7560,135.6163,319.0133,-361.9297,-72.4929,-150.3582,313.3898
7580,157.729,326.0002,-357.1595,-80.8256,-170.4124,308.4193
7600,167.5527,321.651,-362.9004,-87.1662,-178.9288,318.4337
7620,168.1732,318.2011,-356.538,-83.5024,-176.4233,304.2343
7640,184.9558,311.5128,-363.2422,-70.6296,-176.949,315.9727
7660,180.6274,318.5856,-363.5338,-68.0651,-183.7722,314.1545
7680,179.4911,318.8553,-361.8233,-54.3338,-179.2984,310.8588
7700,178.7923,312.4648,-368.0061,-29.5831,-169.8898,310.8755
7720,180.1279,313.7814,-357.8669,-14.717,-168.9212,306.7825
7740,173.9276,310.9166,-358.9417,-2.4055,-161.3462,307.0152
7760,163.2483,319.2411,-363.2923,15.31,-159.2013,315.0405
7780,176.5277,313.773,-360.6877,18.7778,-170.2675,313.445
7800,213.0026,304.9482,-364.3806,37.8541,-186.9891,315.5224
7820,230.3229,298.9729,-368.4489,54.7376,-187.746,316.1885
7840,240.3546,302.7872,-364.9304,61.9492,-195.4968,318.0859
7860,230.2187,289.8518,-359.4834,80.6779,-183.7327,319.7224
7880,238.7359,289.7162,-360.5653,88.8777,-181.3245,327.4364
7900,235.2519,288.2874,-355.2755,94.8359,-173.9574,325.6118
7920,225.4433,295.985,-344.7436,96.1255,-173.537,321.2075
7940,239.5927,290.0833,-352.1953,99.6288,-178.5962,320.0922
